Datetime,AT (EUR),SE3 (EUR),Unnamed: 3,Prognosis (MW),Consumption(MW)
2024-04-29 00:00:00,63.15,41.1,00:00 - 01:00,8237,7845
2024-04-29 01:00:00,60.05,39.44,01:00 - 02:00,8185,8121
2024-04-29 02:00:00,58.93,38.04,02:00 - 03:00,8188,8183
2024-04-29 03:00:00,62.09,37.44,03:00 - 04:00,8266,8136
2024-04-29 04:00:00,74.66,38.05,04:00 - 05:00,8558,8329
2024-04-29 05:00:00,82.45,39.91,05:00 - 06:00,9290,9141
2024-04-29 06:00:00,100.36,59.99,06:00 - 07:00,9875,9847
2024-04-29 07:00:00,109.68,79.99,07:00 - 08:00,9973,9991
2024-04-29 08:00:00,97.57,95.77,08:00 - 09:00,9932,9872
2024-04-29 09:00:00,75.08,62.63,09:00 - 10:00,9884,9744
2024-04-29 10:00:00,46.35,51.87,10:00 - 11:00,9780,9563
2024-04-29 11:00:00,32.38,34.32,11:00 - 12:00,9695,9528
2024-04-29 12:00:00,27.75,31.39,12:00 - 13:00,9589,9303
2024-04-29 13:00:00,6.97,25.32,13:00 - 14:00,9526,9282
2024-04-29 14:00:00,13.62,25.17,14:00 - 15:00,9493,9076
2024-04-29 15:00:00,35.45,32.65,15:00 - 16:00,9394,8910
2024-04-29 16:00:00,47.68,35.29,16:00 - 17:00,9499,9084
2024-04-29 17:00:00,80.55,37.65,17:00 - 18:00,9508,9221
2024-04-29 18:00:00,99.04,42.0,18:00 - 19:00,9475,9452
2024-04-29 19:00:00,169.75,64.59,19:00 - 20:00,9570,9549
2024-04-29 20:00:00,195.88,65.86,20:00 - 21:00,9502,9469
2024-04-29 21:00:00,107.38,65.5,21:00 - 22:00,9122,8996
2024-04-29 22:00:00,86.96,61.12,22:00 - 23:00,8749,8670
2024-04-29 23:00:00,80.05,40.0,23:00 - 00:00,8443,8577
2024-04-30 00:00:00,73.92,30.92,00:00 - 01:00,8374,8353
2024-04-30 01:00:00,66.17,31.09,01:00 - 02:00,8384,8249
2024-04-30 02:00:00,69.31,33.07,02:00 - 03:00,8427,8177
2024-04-30 03:00:00,69.89,35.75,03:00 - 04:00,8574,8245
2024-04-30 04:00:00,69.48,51.23,04:00 - 05:00,8823,8336
2024-04-30 05:00:00,78.6,51.92,05:00 - 06:00,9497,8977
2024-04-30 06:00:00,94.07,54.19,06:00 - 07:00,9936,9501
2024-04-30 07:00:00,101.71,60.03,07:00 - 08:00,9898,9660
2024-04-30 08:00:00,76.95,84.45,08:00 - 09:00,9800,9450
2024-04-30 09:00:00,64.21,62.66,09:00 - 10:00,9625,9231
2024-04-30 10:00:00,39.91,52.54,10:00 - 11:00,9518,8871
2024-04-30 11:00:00,13.65,43.91,11:00 - 12:00,9362,8705
2024-04-30 12:00:00,7.25,31.25,12:00 - 13:00,9165,8578
2024-04-30 13:00:00,6.38,24.1,13:00 - 14:00,9010,8514
2024-04-30 14:00:00,2.78,14.99,14:00 - 15:00,8880,8464
2024-04-30 15:00:00,19.14,25.32,15:00 - 16:00,8906,8672
2024-04-30 16:00:00,44.12,45.58,16:00 - 17:00,9060,8827
2024-04-30 17:00:00,64.28,53.39,17:00 - 18:00,8995,8757
2024-04-30 18:00:00,86.2,53.81,18:00 - 19:00,8923,8669
2024-04-30 19:00:00,115.0,54.3,19:00 - 20:00,8931,8687
2024-04-30 20:00:00,124.72,54.07,20:00 - 21:00,8888,8640
2024-04-30 21:00:00,87.82,53.42,21:00 - 22:00,8539,8323
2024-04-30 22:00:00,77.5,52.52,22:00 - 23:00,8212,7867
2024-04-30 23:00:00,76.1,50.05,23:00 - 00:00,7752,7464
2024-05-01 00:00:00,64.22,38.0,00:00 - 01:00,7711,7393
2024-05-01 01:00:00,54.89,36.61,01:00 - 02:00,7646,7351
2024-05-01 02:00:00,49.47,35.82,02:00 - 03:00,7653,7309
2024-05-01 03:00:00,44.04,35.1,03:00 - 04:00,7688,7316
2024-05-01 04:00:00,46.22,35.59,04:00 - 05:00,7724,7352
2024-05-01 05:00:00,44.09,35.55,05:00 - 06:00,7756,7432
2024-05-01 06:00:00,42.39,38.29,06:00 - 07:00,7803,7543
2024-05-01 07:00:00,30.9,28.08,07:00 - 08:00,7951,7634
2024-05-01 08:00:00,10.06,9.42,08:00 - 09:00,8171,7579
2024-05-01 09:00:00,-0.12,3.83,09:00 - 10:00,8272,7461
2024-05-01 10:00:00,-0.91,3.49,10:00 - 11:00,8319,7438
2024-05-01 11:00:00,-36.01,4.17,11:00 - 12:00,8333,7442
2024-05-01 12:00:00,-82.63,2.29,12:00 - 13:00,8211,7447
2024-05-01 13:00:00,-105.16,1.5,13:00 - 14:00,8079,7387
2024-05-01 14:00:00,-105.99,0.44,14:00 - 15:00,8018,7424
2024-05-01 15:00:00,-72.68,0.66,15:00 - 16:00,8105,7548
2024-05-01 16:00:00,-19.55,3.29,16:00 - 17:00,8376,7794
2024-05-01 17:00:00,-0.5,4.37,17:00 - 18:00,8469,8144
2024-05-01 18:00:00,18.61,23.25,18:00 - 19:00,8458,8517
2024-05-01 19:00:00,49.04,41.82,19:00 - 20:00,8527,8598
2024-05-01 20:00:00,48.17,45.75,20:00 - 21:00,8462,8346
2024-05-01 21:00:00,38.15,34.01,21:00 - 22:00,8182,7906
2024-05-01 22:00:00,34.67,29.92,22:00 - 23:00,7894,7597
2024-05-01 23:00:00,25.22,22.0,23:00 - 00:00,7776,7416
2024-05-02 00:00:00,17.08,14.56,00:00 - 01:00,7685,7288
2024-05-02 01:00:00,12.15,10.94,01:00 - 02:00,7720,7252
2024-05-02 02:00:00,10.0,10.0,02:00 - 03:00,7745,7316
2024-05-02 03:00:00,7.87,7.8,03:00 - 04:00,7855,7301
2024-05-02 04:00:00,10.63,10.94,04:00 - 05:00,8136,7513
2024-05-02 05:00:00,31.2,30.42,05:00 - 06:00,8848,8358
2024-05-02 06:00:00,72.48,39.82,06:00 - 07:00,9385,9163
2024-05-02 07:00:00,72.97,49.63,07:00 - 08:00,9524,9246
2024-05-02 08:00:00,61.94,46.9,08:00 - 09:00,9478,8990
2024-05-02 09:00:00,31.45,31.45,09:00 - 10:00,9476,8728
2024-05-02 10:00:00,5.14,20.32,10:00 - 11:00,9365,8604
2024-05-02 11:00:00,2.08,8.69,11:00 - 12:00,9258,8457
2024-05-02 12:00:00,0.03,4.97,12:00 - 13:00,9177,8322
2024-05-02 13:00:00,-3.35,4.92,13:00 - 14:00,9060,8227
2024-05-02 14:00:00,-0.1,4.91,14:00 - 15:00,9019,8194
2024-05-02 15:00:00,-14.28,6.55,15:00 - 16:00,8966,8279
2024-05-02 16:00:00,-16.11,22.02,16:00 - 17:00,9111,8565
2024-05-02 17:00:00,44.53,34.92,17:00 - 18:00,9132,8788
2024-05-02 18:00:00,69.97,39.05,18:00 - 19:00,9072,8946
2024-05-02 19:00:00,73.57,41.92,19:00 - 20:00,9125,9035
2024-05-02 20:00:00,69.5,41.99,20:00 - 21:00,9003,8883
2024-05-02 21:00:00,75.1,41.92,21:00 - 22:00,8658,8362
2024-05-02 22:00:00,75.95,37.87,22:00 - 23:00,8204,7791
2024-05-02 23:00:00,68.97,33.93,23:00 - 00:00,7974,7490
2024-05-03 00:00:00,62.72,29.78,00:00 - 01:00,7841,7441
2024-05-03 01:00:00,58.57,29.35,01:00 - 02:00,7813,7285
2024-05-03 02:00:00,56.28,29.96,02:00 - 03:00,7810,7342
2024-05-03 03:00:00,56.06,30.01,03:00 - 04:00,7917,7309
2024-05-03 04:00:00,55.17,30.44,04:00 - 05:00,8215,7542
2024-05-03 05:00:00,65.66,31.94,05:00 - 06:00,8859,8326
2024-05-03 06:00:00,80.05,35.08,06:00 - 07:00,9388,9171
2024-05-03 07:00:00,80.92,42.96,07:00 - 08:00,9523,9239
2024-05-03 08:00:00,86.73,42.74,08:00 - 09:00,9411,8872
2024-05-03 09:00:00,82.06,38.69,09:00 - 10:00,9365,8434
2024-05-03 10:00:00,72.96,38.09,10:00 - 11:00,9134,8263
2024-05-03 11:00:00,68.25,34.98,11:00 - 12:00,8973,8051
2024-05-03 12:00:00,63.08,34.17,12:00 - 13:00,8787,7971
2024-05-03 13:00:00,59.19,32.61,13:00 - 14:00,8636,7872
2024-05-03 14:00:00,57.61,31.77,14:00 - 15:00,8528,7934
2024-05-03 15:00:00,60.1,32.13,15:00 - 16:00,8497,7996
2024-05-03 16:00:00,67.3,34.29,16:00 - 17:00,8582,8231
2024-05-03 17:00:00,75.59,37.49,17:00 - 18:00,8538,8332
2024-05-03 18:00:00,85.15,39.51,18:00 - 19:00,8386,8364
2024-05-03 19:00:00,100.68,41.6,19:00 - 20:00,8422,8237
2024-05-03 20:00:00,114.05,39.76,20:00 - 21:00,8365,8073
2024-05-03 21:00:00,104.15,37.09,21:00 - 22:00,8112,7715
2024-05-03 22:00:00,88.73,31.86,22:00 - 23:00,7769,7355
2024-05-03 23:00:00,80.83,25.74,23:00 - 00:00,7534,7023
2024-05-04 00:00:00,87.91,19.57,00:00 - 01:00,7437,6982
2024-05-04 01:00:00,82.59,17.15,01:00 - 02:00,7399,6868
2024-05-04 02:00:00,79.95,16.18,02:00 - 03:00,7388,6870
2024-05-04 03:00:00,80.3,18.33,03:00 - 04:00,7416,6895
2024-05-04 04:00:00,81.93,20.47,04:00 - 05:00,7414,6857
2024-05-04 05:00:00,74.91,22.9,05:00 - 06:00,7406,6934
2024-05-04 06:00:00,81.92,25.22,06:00 - 07:00,7471,7174
2024-05-04 07:00:00,81.47,30.33,07:00 - 08:00,7648,7280
2024-05-04 08:00:00,54.05,39.27,08:00 - 09:00,7871,7502
2024-05-04 09:00:00,48.08,38.09,09:00 - 10:00,7976,7469
2024-05-04 10:00:00,41.17,36.5,10:00 - 11:00,7946,7366
2024-05-04 11:00:00,26.62,30.2,11:00 - 12:00,7763,7371
2024-05-04 12:00:00,13.73,24.33,12:00 - 13:00,7692,7437
2024-05-04 13:00:00,7.41,14.53,13:00 - 14:00,7504,7581
2024-05-04 14:00:00,10.19,13.34,14:00 - 15:00,7399,7686
2024-05-04 15:00:00,24.77,25.4,15:00 - 16:00,7342,7782
2024-05-04 16:00:00,38.29,30.01,16:00 - 17:00,7581,7766
2024-05-04 17:00:00,73.79,32.61,17:00 - 18:00,7713,7823
2024-05-04 18:00:00,89.98,34.59,18:00 - 19:00,7690,7851
2024-05-04 19:00:00,111.85,33.13,19:00 - 20:00,7672,7810
2024-05-04 20:00:00,121.2,34.47,20:00 - 21:00,7616,7819
2024-05-04 21:00:00,104.1,28.65,21:00 - 22:00,7338,7557
2024-05-04 22:00:00,83.33,25.33,22:00 - 23:00,7064,7258
2024-05-04 23:00:00,79.52,22.9,23:00 - 00:00,6870,7080
2024-05-05 00:00:00,84.93,26.36,00:00 - 01:00,6771,6925
2024-05-05 01:00:00,78.73,27.82,01:00 - 02:00,6792,6854
2024-05-05 02:00:00,78.56,28.09,02:00 - 03:00,6757,6700
2024-05-05 03:00:00,74.72,28.42,03:00 - 04:00,6743,6725
2024-05-05 04:00:00,69.49,29.39,04:00 - 05:00,6782,6626
2024-05-05 05:00:00,66.32,29.04,05:00 - 06:00,6866,6592
2024-05-05 06:00:00,58.36,31.32,06:00 - 07:00,7014,6944
2024-05-05 07:00:00,43.83,34.54,07:00 - 08:00,7307,7365
2024-05-05 08:00:00,30.18,35.72,08:00 - 09:00,7701,7710
2024-05-05 09:00:00,16.45,25.63,09:00 - 10:00,7910,8029
2024-05-05 10:00:00,5.64,9.33,10:00 - 11:00,8012,8125
2024-05-05 11:00:00,0.44,3.7,11:00 - 12:00,7992,8275
2024-05-05 12:00:00,0.0,3.27,12:00 - 13:00,7940,8235
2024-05-05 13:00:00,-0.04,2.0,13:00 - 14:00,7870,8243
2024-05-05 14:00:00,-0.97,1.9,14:00 - 15:00,7831,8335
2024-05-05 15:00:00,-0.1,4.27,15:00 - 16:00,7921,8340
2024-05-05 16:00:00,0.0,4.9,16:00 - 17:00,8253,8584
2024-05-05 17:00:00,32.0,32.0,17:00 - 18:00,8398,8808
2024-05-05 18:00:00,81.5,37.71,18:00 - 19:00,8478,8844
2024-05-05 19:00:00,91.27,43.22,19:00 - 20:00,8565,8707
2024-05-05 20:00:00,101.11,46.65,20:00 - 21:00,8502,8617
2024-05-05 21:00:00,100.42,43.71,21:00 - 22:00,8194,8311
2024-05-05 22:00:00,92.87,40.06,22:00 - 23:00,7831,8049
2024-05-05 23:00:00,84.92,24.11,23:00 - 00:00,7580,7903
